player	pos	tm	season	perf	salary
Aaron Brooks	PG	['TOT, HOU, PHO', 'TOT, SAC, HOU', 'TOT, HOU, DEN', 'CHI', 'CHI']	['2010-11', '2012-13', '2013-14', '2014-15', '2015-16']	[1766, 1086, 1932, 1293, 730]	$2,700,000 
Aaron Gordon	PF	['ORL', 'ORL']	['2014-15', '2015-16']	[450, 1402]	$4,351,320 
Aaron Gray	C	['NOH', 'TOR', 'TOR', 'TOT, TOR, SAC']	['2010-11', '2011-12', '2012-13', '2013-14']	[307, 487, 261, 370]	$452,059 
Aaron Harrison	SG	['CHO']	['2015-16']	[37]	$375,579 
Adreian Payne	PF	['TOT, ATL, MIN', 'MIN']	['2014-15', '2015-16']	[778, 263]	$2,022,240 
Al Horford	C	['ATL', 'ATL', 'ATL', 'ATL', 'ATL', 'ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2182, 245, 2295, 865, 2010, 2190]	$26,540,100 
Al Jefferson	C	['UTA', 'UTA', 'UTA', 'CHA', 'CHO', 'CHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2565, 1975, 2339, 2563, 1806, 970]	$10,230,179 
Al-Farouq Aminu	SF	['LAC', 'NOH', 'NOH', 'NOP', 'DAL', 'POR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[765, 775, 1270, 1214, 890, 1481]	$7,680,965 
Alan Anderson	SF	['TOR', 'TOR', 'BRK', 'BRK', 'WAS']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[206, 919, 817, 833, 109]	$1,315,448 
Alan Williams	PF	['PHO']	['2015-16']	[75]	$874,636 
Alec Burks	SG	['UTA', 'UTA', 'UTA', 'UTA', 'UTA']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[593, 662, 1492, 540, 555]	$10,154,495 
Alex Len	C	['PHO', 'PHO', 'PHO']	['2013-14', '2014-15', '2015-16']	[185, 983, 1349]	$4,823,621 
Alexis Ajinca	C	['TOT, DAL, TOR', 'NOP', 'NOP', 'NOP']	['2010-11', '2013-14', '2014-15', '2015-16']	[486, 651, 808, 653]	$4,600,000 
Allen Crabbe	SG	['POR', 'POR', 'POR']	['2013-14', '2014-15', '2015-16']	[48, 299, 1162]	$18,500,000 
Alonzo Gee	SG	['TOT, SAS, WAS, CLE', 'CLE', 'CLE', 'CLE', 'TOT, DEN, POR', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1108, 1086, 1299, 464, 738, 663]	$1,400,000 
Alonzo Gee	SG	['TOT, SAS, WAS, CLE', 'CLE', 'CLE', 'CLE', 'TOT, DEN, POR', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1108, 1086, 1299, 464, 738, 663]	$417,848 
Alonzo Gee	SG	['TOT, SAS, WAS, CLE', 'CLE', 'CLE', 'CLE', 'TOT, DEN, POR', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1108, 1086, 1299, 464, 738, 663]	$77,379 
Amir Johnson	PF	['TOR', 'TOR', 'TOR', 'TOR', 'TOR', 'BOS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1302, 947, 1620, 1440, 1260, 1261]	$12,000,000 
Anderson Varejao	C	['CLE', 'CLE', 'CLE', 'CLE', 'CLE', 'TOT, CLE, GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[653, 608, 805, 1351, 460, 636]	$1,984,005 
Anderson Varejao	C	['CLE', 'CLE', 'CLE', 'CLE', 'CLE', 'TOT, CLE, GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[653, 608, 805, 1351, 460, 636]	$1,551,659 
Andre Drummond	C	['DET', 'DET', 'DET', 'DET']	['2012-13', '2013-14', '2014-15', '2015-16']	[1060, 2323, 2395, 2655]	$22,116,750 
Andre Iguodala	SF	['PHI', 'PHI', 'DEN', 'GSW', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1755, 1513, 1879, 1157, 1115, 952]	$11,131,368 
Andre Roberson	SG	['OKC', 'OKC', 'OKC']	['2013-14', '2014-15', '2015-16']	[194, 589, 695]	$2,183,072 
Andrea Bargnani	C	['TOR', 'TOR', 'TOR', 'NYK', 'NYK', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1804, 800, 599, 833, 590, 406]	$323,599 
Andrew Bogut	C	['MIL', 'MIL', 'GSW', 'GSW', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1771, 279, 538, 1346, 1191, 1093]	$11,027,027 
Andrew Nicholson	PF	['ORL', 'ORL', 'ORL', 'ORL']	['2012-13', '2013-14', '2014-15', '2015-16']	[866, 705, 292, 601]	$6,088,993 
Andrew Wiggins	SF	['MIN', 'MIN']	['2014-15', '2015-16']	[1890, 2072]	$6,006,600 
Anthony Bennett	PF	['CLE', 'MIN', 'TOR']	['2013-14', '2014-15', '2015-16']	[371, 569, 52]	$1,015,696 
Anthony Brown	SF	['LAL']	['2015-16']	[208]	$874,636 
Anthony Brown	SF	['LAL']	['2015-16']	[208]	$108,043 
Anthony Brown	SF	['LAL']	['2015-16']	[208]	$51,449 
Anthony Davis	PF	['NOH', 'NOP', 'NOP', 'NOP']	['2012-13', '2013-14', '2014-15', '2015-16']	[1550, 2341, 2706, 2306]	$22,116,750 
