player,pos,salary,pred_perf
Aaron Brooks,PG,"$2,700,000 ",1361.4
Aaron Gordon,PF,"$4,351,320 ",926
Aaron Gray,C,"$452,059 ",356.25
Aaron Harrison,SG,"$375,579 ",37
Adreian Payne,PF,"$2,022,240 ",520.5
Al Horford,C,"$26,540,100 ",1631.166667
Al Jefferson,C,"$10,230,179 ",2036.333333
Al-Farouq Aminu,SF,"$7,680,965 ",1065.833333
Alan Anderson,SF,"$1,315,448 ",576.8
Alan Williams,PF,"$874,636 ",75
Alec Burks,SG,"$10,154,495 ",768.4
Alex Len,C,"$4,823,621 ",839
Alexis Ajinca,C,"$4,600,000 ",649.5
Allen Crabbe,SG,"$18,500,000 ",503
Alonzo Gee,SG,"$1,400,000 ",893
Alonzo Gee,SG,"$417,848 ",893
Alonzo Gee,SG,"$77,379 ",893
Amir Johnson,PF,"$12,000,000 ",1305
Anderson Varejao,C,"$1,984,005 ",752.1666667
Anderson Varejao,C,"$1,551,659 ",752.1666667
Andre Drummond,C,"$22,116,750 ",2108.25
Andre Iguodala,SF,"$11,131,368 ",1395.166667
Andre Roberson,SG,"$2,183,072 ",492.6666667
Andrea Bargnani,C,"$323,599 ",838.6666667
Andrew Bogut,C,"$11,027,027 ",1036.333333
Andrew Nicholson,PF,"$6,088,993 ",616
Andrew Wiggins,SF,"$6,006,600 ",1981
Anthony Bennett,PF,"$1,015,696 ",330.6666667
Anthony Brown,SF,"$874,636 ",208
Anthony Brown,SF,"$108,043 ",208
Anthony Brown,SF,"$51,449 ",208
Anthony Davis,PF,"$22,116,750 ",2225.75
Anthony Morrow,SG,"$3,488,000 ",784
Anthony Tolliver,SF,"$8,000,000 ",743
Archie Goodwin,SG,"$2,094,089 ",440.3333333
Archie Goodwin,SG,"$95,600 ",440.3333333
Arinze Onuaku,PF,"$440,078 ",40
Aron Baynes,C,"$6,500,000 ",532.25
Arron Afflalo,SG,"$12,500,000 ",1606.333333
Austin Rivers,SG,"$11,000,000 ",964
Avery Bradley,PG,"$8,269,663 ",933.6666667
Axel Toupane,SF,"$51,449 ",129
Ben McLemore,SG,"$4,008,882 ",1020
Beno Udrih,PG,"$1,551,659 ",1087.333333
Bismack Biyombo,C,"$17,000,000 ",907.6
Blake Griffin,PF,"$20,140,838 ",2334.666667
Boban Marjanovic,C,"$7,000,000 ",518
Bobby Portis,PF,"$1,453,680 ",818
Bojan Bogdanovic,SF,"$3,730,653 ",1053
Boris Diaw,PF,"$7,000,000 ",1228.833333
Bradley Beal,SG,"$22,116,750 ",1368
Brandan Wright,PF,"$5,700,000 ",839.3333333
Brandon Bass,PF,"$1,551,659 ",1240.833333
Brandon Jennings,PG,"$4,837,318 ",1593.833333
Brandon Jennings,PG,"$1,200,000 ",1593.833333
Brandon Knight,PG,"$12,606,250 ",1780
Brandon Rush,SG,"$3,500,000 ",448
Brian Roberts,PG,"$1,050,961 ",788.25
Briante Weber,PG,"$328,000 ",160
Briante Weber,PG,"$102,898 ",160
Briante Weber,PG,"$51,449 ",160
Brook Lopez,C,"$21,165,675 ",1511.666667
Bruno Caboclo,SF,"$1,589,640 ",7
C.J. McCollum,SG,"$3,219,579 ",1009.666667
C.J. Miles,SF,"$4,583,450 ",999.6666667
C.J. Watson,PG,"$5,000,000 ",683.8333333
C.J. Wilcox,SG,"$1,209,680 ",76
Cameron Payne,PG,"$2,112,480 ",474
Carl Landry,PF,"$6,500,000 ",1014.166667
Carlos Delfino,SF,"$650,000 ",938
Carmelo Anthony,SF,"$24,559,380 ",2685.166667
Caron Butler,SF,"$517,220 ",895.8333333
Chandler Parsons,SF,"$22,116,750 ",1509.2
Channing Frye,PF,"$7,806,971 ",1343.4
Chris Andersen,C,"$1,551,659 ",579.1666667
Chris Bosh,PF,"$23,741,060 ",1732.333333
Chris McCullough,PF,"$1,191,480 ",214
Chris Paul,PG,"$22,868,828 ",2311.5
Chris Wright,SF,"$100,000 ",70.66666667
Christian Wood,PF,"$874,636 ",112
Clint Capela,C,"$1,296,240 ",624.5
Cody Zeller,C,"$5,318,313 ",1033.333333
Cole Aldrich,C,"$7,643,979 ",403
Corey Brewer,SF-SG,"$7,600,000 ",1498.5
Cory Joseph,PG,"$7,330,000 ",588.6
Courtney Lee,SG,"$11,242,000 ",1410
Cristiano Felicio,C,"$874,636 ",239
D'Angelo Russell,PG,"$5,332,800 ",1504
D.J. Augustin,PG,"$7,250,000 ",1617.333333
D.J. Kennedy,SF,"$50,000 ",21
D.J. Stephens,SG,"$35,000 ",12
